Timecode List:,00:00:09.443,00:00:12.479,00:00:15.148,00:00:17.851,00:00:27.828,00:00:44.378,00:00:51.118,00:01:03.630,00:01:30.757,00:01:41.001,00:01:43.036,00:01:44.304,00:01:56.683,00:01:57.951,00:02:01.955,00:02:06.493,00:02:14.868,00:02:17.304,00:02:32.619,00:02:35.822,00:02:44.498,00:02:49.169,00:02:50.938,00:02:51.872,00:02:54.741,00:02:58.011,00:02:58.512,00:02:59.813,00:03:01.882,00:03:03.116,00:03:03.917,00:03:04.718,00:03:05.419,00:03:07.287,00:03:08.322,00:03:10.457,00:03:11.758,00:03:13.160,00:03:14.895,00:03:16.964,00:03:18.232,00:03:19.566,00:03:21.835,00:03:23.170,00:03:24.238,00:03:25.772,00:03:27.341,00:03:28.909,00:03:30.577,00:03:32.212,00:03:33.680,00:03:34.414,00:03:35.682,00:03:42.956,00:03:44.525,00:03:45.626,00:03:46.927,00:03:47.995,00:03:48.896,00:03:49.796,00:03:50.464,00:03:51.865,00:03:53.033,00:03:53.901,00:03:55.068,00:03:56.336,00:03:56.837,00:03:57.404,00:03:58.238,00:03:58.739,00:03:59.706,00:04:00.407,00:04:01.041,00:04:02.042
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,283,00:00:09.443,9.443,283,00:00:09.443,9.443
2,283,00:00:09.443,9.443,374,00:00:12.479,12.479,91,00:00:03.036,3.036
3,374,00:00:12.479,12.479,454,00:00:15.148,15.148,80,00:00:02.669,2.669
4,454,00:00:15.148,15.148,535,00:00:17.851,17.851,81,00:00:02.703,2.703
5,535,00:00:17.851,17.851,834,00:00:27.828,27.828,299,00:00:09.977,9.977
6,834,00:00:27.828,27.828,1330,00:00:44.378,44.378,496,00:00:16.550,16.550
7,1330,00:00:44.378,44.378,1532,00:00:51.118,51.118,202,00:00:06.740,6.740
8,1532,00:00:51.118,51.118,1907,00:01:03.630,63.630,375,00:00:12.513,12.513
9,1907,00:01:03.630,63.630,2720,00:01:30.757,90.757,813,00:00:27.127,27.127
10,2720,00:01:30.757,90.757,3027,00:01:41.001,101.001,307,00:00:10.244,10.244
11,3027,00:01:41.001,101.001,3088,00:01:43.036,103.036,61,00:00:02.035,2.035
12,3088,00:01:43.036,103.036,3126,00:01:44.304,104.304,38,00:00:01.268,1.268
13,3126,00:01:44.304,104.304,3497,00:01:56.683,116.683,371,00:00:12.379,12.379
14,3497,00:01:56.683,116.683,3535,00:01:57.951,117.951,38,00:00:01.268,1.268
